issues,size_kb,topics,commits,commits_per_day,forks_per_day,age_days,days_since_update,recently_upload,has_homepage,stars,watchers,watchers_per_fork,activity_ratio,fork_star_ratio,issues_per_size,avg_growth_rate,creation_year,creation_month
567,6517,0,1,0.0004786979415988511,3.6730493058879845,2089,0,1,1,32040,32040,4.175680959207611,0.0,0.23947442339502512,0.0869898741945382,15.330143540669857,2019,9
109,128574,5,71,0.1232638888888889,7.470486111111111,576,0,1,1,32026,32026,7.442714385312573,0.0,0.13435538764167734,0.0008477542290491931,55.50433275563258,2023,10
533,44084,5,9,0.0049126637554585155,1.2254366812227073,1832,0,1,1,31928,31928,14.221826280623608,0.0,0.07031225531648344,0.012090280140637405,17.418439716312058,2020,5
195,203191,17,9,0.002261874842925358,1.1342045740135713,3979,0,1,1,31637,31637,7.010192776423665,0.0,0.14264492066502307,0.0009596834521044136,7.948994974874372,2014,7
1325,26079,3,0,0.0,2.31033262561925,2826,0,1,0,31461,31461,4.818655230510032,0.0,0.20752018307799885,0.05080521472392638,11.128758401131941,2017,8
89,13110,4,0,0.0,2.7354903268845896,2998,0,1,0,31288,31288,3.8151444945738326,0.0,0.2621048930934194,0.00678819312028068,10.432810936978994,2017,3
589,5514,8,0,0.0,2.7510668563300142,1406,0,1,0,31069,31069,8.032316442605998,0.0,0.12449308014161571,0.10679963735267452,22.081734186211797,2021,7
1914,64771,20,0,0.0,3.913290113452188,2468,0,1,1,31060,31060,3.215986746738455,0.0,0.31093654421943917,0.029549805471500032,12.579991899554475,2018,8
44,21170,3,0,0.0,0.8948616600790514,3795,0,1,1,30682,30682,9.034746760895171,0.0,0.11068018120783496,0.002078314675735676,8.082718651211803,2015,1
345,84109,15,36,0.1125,6.0375,320,0,1,1,30478,30478,15.77536231884058,0.0,0.06338790642737623,0.004101771489715848,94.94704049844236,2024,7
74,7768,10,0,0.0,1.2339673913043478,3680,0,1,0,30325,30325,6.678044483593922,0.0,0.14973949746092463,0.009525035397091002,8.23825047541429,2015,4
27,5694,14,0,0.0,1.8976608187134503,1026,0,1,0,30227,30227,15.524910118130457,0.0,0.06441048034934498,0.004741000877963125,29.432327166504383,2022,8
78,114917,20,89,0.06458635703918723,1.218432510885341,1378,0,1,1,30139,30139,17.950565812983918,0.0,0.05570670205706702,0.0006787448441497415,21.855692530819436,2021,8
188,8654,3,0,0.0,5.029776674937965,806,0,1,1,30008,30008,7.402072027627035,0.0,0.13509280549168584,0.02172154823801271,37.18463444857497,2023,3
15,5585,7,1,0.001310615989515072,2.8479685452162515,763,0,1,1,29938,29938,13.777266451909803,0.0,0.07258091452620329,0.0026852846401718583,39.18586387434555,2023,4
558,6020,20,0,0.0,0.38062568605927555,3644,0,1,1,29875,29875,21.539293439077145,0.0,0.04642522426027581,0.09267563527653214,8.196159122085048,2015,6
9,99770,2,0,0.0,9.293956043956044,728,0,1,0,29848,29848,4.411469110257168,0.0,0.226674260444236,9.020657305228974e-05,40.9437585733882,2023,5
21,269163,8,0,0.0,2.57024351083757,3737,0,1,1,29842,29842,3.106923477355544,0.0,0.3218510203397782,7.801934879850203e-05,7.9834135901551635,2015,3
190,258733,8,68,0.027331189710610933,2.047025723472669,2488,0,1,1,29680,29680,5.827606518751227,0.0,0.1715912536639601,0.0007343449256765636,11.924467657693853,2018,8
47,1873467,7,10,0.004260758414997869,1.7643800596506178,2347,0,1,1,29582,29582,7.143685100217339,0.0,0.13997904201737485,2.5087164552583764e-05,12.598807495741056,2018,12
